APO_AI_Isprot_HTG,APO_AI_Isprot_NTG,APO_B_Isprot_HTG,APO_B_Isprot_NTG,APO_AI_Ispep_HTG,APO_AI_Ispep_NTG
2.21831,2.71127,4.41244,2.87737,0.825809,1.4247
3.8615,2.38263,6.90509,6.07315,2.47336,7.04312
6.90141,7.31221,8.12096,6.01096,5.99612,6.59546
9.53052,8.21596,8.8869,5.18236,8.84416,8.24376
10.9272,8.5446,10.2273,7.16003,10.566,10.3403
11.2559,11.338,8.95275,8.1181,11.5389,11.9889
11.2559,16.1854,8.95402,7.86347,12.6612,14.0122
11.6667,17.5,11.3786,6.97109,11.9149,11.3222
12.4883,17.2535,10.9961,7.73847,13.1882,13.1172
12.6526,17.9108,13.1013,7.16465,12.4422,16.7828
12.8169,16.5141,12.528,9.65491,13.5646,15.8128
12.8169,19.2254,10.6158,10.0385,14.5383,15.665
13.5563,17.3357,11.3818,8.50807,15.9597,18.2085
14.2136,18.7324,11.6385,10.3582,15.9609,20.0801
14.7887,20.1291,11.575,9.91351,17.2337,17.1635
15.2817,21.9366,11.5116,12.2748,14.766,16.1917
15.3638,21.5258,13.4894,13.3657,16.8618,18.4375
15.446,30.1526,14.5737,17.4513,18.4357,20.7582
16.0211,29.8239,12.5332,20.2049,18.8856,21.5823
16.1854,,14.8931,,20.0854,21.0605
17.993,,13.8094,,,27.2113
17.993,,15.4683,,,29.2355
20.6221,,14.0023,,,
,,14.4497,,,
,,13.685,,,
,,15.7904,,,
,,17.0665,,,
,,18.4071,,,
,,16.6855,,,
,,16.1133,,,
,,18.41,,,
,,16.9441,,,
,,16.116,,,
,,25.1889,,,